Company_Name,Leaders,No_of_Employee,Funding Type,Yr,Software Type,Industry,Category,Size,Website,LinkedIn,Address
Zageno,Florian Wegener,51-200 employees,VC-funded,Founded: 2015,B2B SaaS,Healthcare,Accounting and Finance,Medium,www.zageno.com,https://www.linkedin.com/company/zageno-inc-/about/,"625 Massachusetts Avenue, Cambridge, MA 02139"
ZeroNorth,John Worrall,11-50 employees,VC-funded,Founded: 2015,B2B SaaS,Horizontal,Compliance,Small,www.zeronorth.io,https://www.linkedin.com/company/zeronorth/about/,"2 Atlantic Ave, The Pilot House, Boston, MA 02110"
Zerto,Ziv Kedem,501-1000 employees,VC-funded,Founded: 2009,B2B SaaS,Horizontal,IT Mgt,Large,www.zerto.com,https://www.linkedin.com/company/zerto/about/,"27-43 Wormwood Street, Boston, Massachusetts 02210,"
Zulip,Null,11-50 employees,Acquired,Founded: 2012,B2B SaaS,Horizontal,Communications,Small,zulipchat.com,https://www.linkedin.com/company/zulip-defunct/about/,"Cambridge, MA"
Zywave,Jason Liu,501-1000 employees,Acquired,Founded: 1983,B2B SaaS,Financial Services,Sales and Marketing,Large,www.zywave.com,https://www.linkedin.com/company/zywave/about/,"Boston, MA"
3D Source,Scott Sturges,11-50 employees,Self-funded,Founded: 2016,B2B SaaS,Manufacturing,On-Demand Services,Small,3dsource.com,https://www.linkedin.com/company/3d-source/about/,"222 W. Merchandise Mart Plaza, Suite 1212, Chicago, IL 60654, USA"
3PM Solutions,Rob Dunkel,11-50 employees,Self-funded,Founded: 2013,B2B SaaS,Retail,Compliance,Small,3pm.ai,https://www.linkedin.com/company/3pm-marketplace-solutions/about/,"440 N Wells St #750, Chicago, IL 60654"
4C Insights,Alok Choudhary,51-200 employees,VC-funded,Founded: 2011,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.4cinsights.com,https://www.linkedin.com/company/4c-insights/about/,"1 E Wacker Dr, Chicago, Illinois 60601"
4D Healthware,Star* Cunningham,1-10 employees,Angel or Seed Funding,Founded: 2012,B2B SaaS,Healthcare,Analytics and BI,Startup,4dhealthware.com,https://www.linkedin.com/company/4d-healthware/about/,"401 N Michigan Ave, Suite #1740, Chicago, Illinois, Illinois 60611"
9ci,Joshua Burnett,51-200 employees,Self-funded,Founded: 1998,B2B SaaS,Horizontal,Accounting and Finance,Medium,www.9ci.com,https://www.linkedin.com/company/9ci/about/,"607 W Fulton St, Chicago, IL 60661"
Aclaimant,David Wald,11-50 employees,Angel or Seed Funding,Founded: 2013,B2B SaaS,Financial Services,Analytics and BI,Small,aclaimant.com,https://www.linkedin.com/company/aclaimant/about/,"20 W. Kinzie, Chicago, IL 60654"
Actico,Hans Juergen Rieder,201-500 employees,Self-funded,Founded: 2015,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Medium,www.actico.com,https://www.linkedin.com/company/actico/about/,"141 W Jackson Blvd, Ste 300A, Chicago, Illinois 60604"
ActiveCampaign,Jason VandeBoom,501-1000 employees,Private Equity funding,Founded: 2003,B2B SaaS,Horizontal,Sales and Marketing,Large,activecampaign.com,https://www.linkedin.com/company/activecampaign-inc-/about/,"1 North Dearborn St., 5th Floor, Chicago, IL 60602"
Acumence,Null,1-10 employees,Self-funded,Founded: 1997,B2B SaaS,Horizontal,Analytics and BI,Startup,www.acumence.com,https://www.linkedin.com/company/acumence-holding-company/about/,"Chicago, IL"
ACV Auctions,George Chamoun,1001-5000 employees,VC-funded,Founded: 2014,B2B SaaS,Automotive,Sales and Marketing,Large,www.acvauctions.com,https://www.linkedin.com/company/acv-auctions/about/,"Chicago, IL"
Adeptia,Lou Ennuso,51-200 employees,VC-funded,Founded: 2000,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Medium,adeptia.com,https://www.linkedin.com/company/adeptia/about/,"343 West Erie, Suite 430, Chicago, IL 60654,"
Adesso Solutions,Fred Schroeder,11-50 employees,VC-funded,Founded: 2002,B2B SaaS,Horizontal,Business Mgt and ERP,Small,www.adessosolutions.com,https://www.linkedin.com/company/adesso-solutions/about/,"3701 Algonquin Road, Rolling Meadows, IL 60008"
ADP,Gus Blanchard,"10,001+ employees",Public,Founded: 1949,B2B SaaS,Horizontal,Accounting and Finance,Large,www.adp.com,https://www.linkedin.com/company/adp/about/,"233 South Wacker Drive, Chicago, IL 60606"
Aginity,Paul Schaut,51-200 employees,Private Equity funding,Founded: 2005,B2B SaaS,Horizontal,Analytics and BI,Medium,aginity.com,https://www.linkedin.com/company/aginity-inc/about/,"1007 Church St, Suite 700, Evanston, IL 60201,"
agnoStack,Adam Grohs,1-10 employees,Angel or Seed Funding,Founded: 2019,B2B SaaS,Retail,Ecommerce,Startup,agnostack.com,https://www.linkedin.com/company/agnostack/about/,"231 S La Salle St, Suite 2100, Chicago, Illinois 60604"
Ai2,Douglas Katich,11-50 employees,Self-funded,Founded: 1986,B2B SaaS,Horizontal,Business Mgt and ERP,Small,ai2.com,https://www.linkedin.com/company/ai2/about/,"180 N. Stetson, Suite 3660, Chicago, IL 60601"
Aloi,Tommy Skinner,1-10 employees,Angel or Seed Funding,Founded: 2018,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Startup,www.aloi.io,https://www.linkedin.com/company/aloi/about/,"Chicago, IL"
Alteryx,Mark Anderson,1001-5000 employees,Public,Founded: 1997,B2B SaaS,Horizontal,Analytics and BI,Large,www.alteryx.com,https://www.linkedin.com/company/alteryx/about/,"Two North Riverside Plaza, Suite 1430, Chicago, IL 60606"
Amazon,Ukonwa Kuzi-Orizu Ojo,"10,001+ employees",Public,Founded: 1994,B2B SaaS,Retail,Ecommerce,Large,www.amazon.com,https://www.linkedin.com/company/amazon/about/,"1125 Remington Blvd., Romeoville,, IL 60446"
antuit.ai,Sivakumar Lakshmanan,201-500 employees,Acquired,Founded: 2013,B2B SaaS,Horizontal,Analytics and BI,Medium,www.antuit.ai,https://www.linkedin.com/company/antuitai/about/,"1010 Lake Street, Suite #300, Oak Park, IL 60301"
Applied Pathways,John Feldman,11-50 employees,Acquired,Founded: 2010,B2B SaaS,Healthcare,Document Management,Small,appliedpathways.com,https://www.linkedin.com/company/applied-pathways-llc/about/,"1821 Walden Office Square, Suite 215, Schaumburg, IL 60173"
Apptio,Sunny Gupta,501-1000 employees,Public,Founded: 2007,B2B SaaS,Horizontal,IT Mgt,Large,www.apptio.com,https://www.linkedin.com/company/apptio/about/,"18W140 Butterfield Road, One Lincoln Center 15th Floor, Oakbrook Terrace, IL 60181"
Arrive Logistics,Matt Pyatt,1001-5000 employees,VC-funded,Founded: 2014,B2B SaaS,Horizontal,Logistics and Supply Chain,Large,www.arrivelogistics.com,https://www.linkedin.com/company/arrive-logistics/about/,"30 S. Wacker, Suite 2350, Chicago, IL 60606, US"
Autobon,Krystian Gebis,11-50 employees,Angel or Seed Funding,Founded: 2016,B2B SaaS,"Logistics, Supply Chain, Transportation",Logistics and Supply Chain,Small,www.autobon.ai,https://www.linkedin.com/company/autobonai/about/,"3653 Blackhawk Dr, Rolling Meadows, IL 60008"
Avail,Ryan Coon,11-50 employees,VC-funded,Founded: 2012,B2B SaaS,Real Estate,Practice Management,Small,www.avail.co,https://www.linkedin.com/company/helloavail/about/,"900 N Franklin, Suite 404, Chicago, IL 60610"
Avant,James Paris,501-1000 employees,VC-funded,Founded: 2012,B2B SaaS,Financial Services,Analytics and BI,Large,www.avant.com,https://www.linkedin.com/company/avant-us/about/,"222 N. LaSalle Street, 1700, Chicago, IL 60601, US"
Avatria,Zach McMahon,11-50 employees,Self-funded,Founded: 2014,B2B SaaS,Horizontal,Sales and Marketing,Small,convert.avatria.com,https://www.linkedin.com/company/avatria/about/,"10 South LaSalle Street, 320, Chicago, Illinois 60603, US"
Backstop Solutions Group,Clint Coghill,51-200 employees,VC-funded,Founded: 2003,B2B SaaS,Financial Services,Practice Management,Medium,www.backstopsolutions.com,https://www.linkedin.com/company/backstop-solutions-group/about/,"233 S. Wacker Drive, Suite 3960, Chicago, IL 60606,"
Basecamp,Jason Fried,11-50 employees,Other,Founded: 1999,B2B SaaS,Horizontal,Business Mgt and ERP,Small,basecamp.com,http://www.linkedin.com/company/37signals/about/,"Chicago, IL"
Basis Technologies,Shawn Riegsecker,501-1000 employees,VC-funded,Founded: 2001,B2B SaaS,Horizontal,Sales and Marketing,Large,basis.net,https://www.linkedin.com/company/basis-technologies/about/,"11 E Madison St, Chicago, Illinois 60602"
Bectran,Louis Ifeguni,51-200 employees,Self-funded,Founded: 2010,B2B SaaS,Horizontal,Accounting and Finance,Medium,www.bectran.com,https://www.linkedin.com/company/bectran-inc-/about/,"One North Wacker Drive, Suite 4010, Chicago, IL 60606"
Beeline,Doug Leeby,501-1000 employees,Acquired,Founded: 1999,B2B SaaS,Horizontal,HR and Recruiting,Large,www.beeline.com,https://www.linkedin.com/company/beeline/about/,"Chicago, IL"
Best Case,Null,11-50 employees,Acquired,Founded: 1996,B2B SaaS,Legal,Practice Management,Small,www.bestcase.com,https://www.linkedin.com/showcase/bestcase/about/,"500 Davis St, Suite 800, Evanston, Illinois 60201,"
Better Impact,Tony Goodrow,11-50 employees,Self-funded,Founded: 1997,B2B SaaS,Non-Profit,eLearning,Small,www.betterimpact.com,https://www.linkedin.com/company/better-impact-inc-/about/,"332 S Michigan Ave Chicago, IL USA 60604"
Betterteam,Adam Seabrook,11-50 employees,Self-funded,Founded: 2015,B2B SaaS,Horizontal,HR and Recruiting,Small,www.betterteam.com,https://www.linkedin.com/company/betterteam/about/,"Chicago, IL"
BevAnalytics,Dan Taneja,1-10 employees,Self-funded,Founded: 2015,B2B SaaS,"Entertainment, Hospitality, Travel",Sales and Marketing,Startup,www.bevanalytics.com,https://www.linkedin.com/company/bevanalytics/about/,"222 W. Merchandise Mart Plaza, Suite 1212, Chicago, IL 60654"
Bidgenius,Urvi Thakkar,1-10 employees,Self-funded,Founded: 2001,B2B SaaS,Horizontal,Sales and Marketing,Startup,bidgenius.com,https://www.linkedin.com/company/bevanalytics/about/,"Schaumburg, IL"
BigTime Software,Brian Saunders,51-200 employees,VC-funded,Founded: 2002,B2B SaaS,Horizontal,Practice Management,Medium,www.bigtime.net,https://www.linkedin.com/company/bigtime-software-inc-/about/,"311 S Wacker Dr, 2300, Chicago, Illinois 60606"
BiznusSoft,Moiz Mohammed,51-200 employees,Self-funded,Founded: 2013,B2B SaaS,Horizontal,Business Mgt and ERP,Medium,www.biznussoft.com,https://www.linkedin.com/company/biznussoft/about/,"1350 Lake St Ste K, Roselle IL 60172"
BlackLetter,Karnig Kerkonian,1-10 employees,Self-funded,Founded: 2012,B2B SaaS,Legal,Practice Mgt,Startup,www.blackletter.io,https://www.linkedin.com/company/velawsity/,"Chicago, IL"
BlazePortfolio,Bryson Pouw,11-50 employees,Self-funded,Founded: 2005,B2B SaaS,Financial Services,Practice Management,Small,www.blazeportfolio.com,https://www.linkedin.com/company/blazeportfolio/about/,"4619 N Ravenswood Ave, 302C, Chicago, Illinois 60640"
Blocklight,Justin Arnold,1-10 employees,Other,Founded: 2018,B2B SaaS,Retail,Analytics and BI,Startup,blocklight.io,https://www.linkedin.com/company/blocklightio/about/,"222 W. Merchandise Mart Plaza , Chicago, IL 60654"
Blue Marble Payroll,Steve Sarowitz,51-200 employees,Self-funded,Founded: 2013,B2B SaaS,Horizontal,Accounting and Finance,Medium,www.bluemarblepayroll.com,https://www.linkedin.com/company/blue-marble-payroll/about/,"1849 Green Bay Rd, Unit 280 , Highland Park, IL 60035, US"
"BLUE Software, Esko",Ali Moosani,1001-5000 employees,Acquired,Founded: 1997,B2B SaaS,Horizontal,Compliance,Large,www.bluesoftware.com,https://www.linkedin.com/company/eskobrandsolutions/about/,"8430 W. Bryn Mawr Ave., Suite 1100, Chicago, IL 60631"
Bluebeam,Jon Elliott,201-500 employees,Acquired,Founded: 2002,B2B SaaS,Construction,Business Mgt and ERP,Medium,www.bluebeam.com,https://www.linkedin.com/company/bluebeam-software/about/,"400 N. Michigan Ave., Ste. 1500, Chicago, IL 60611"
Blueprint,Danny Freed,1-10 employees,Angel or Seed Funding,Founded: 2016,B2B SaaS,Healthcare,Practice Management,Startup,blueprint-health.com,https://www.linkedin.com/company/blueprinthealth/about/,"222 W Merchandise Mart Plaza, #1230, Chicago, Illinois 60654-4738"
Blueye,Christian Gabrielsen,11-50 employees,Self-funded,Founded: 2005,B2B SaaS,Horizontal,Automation,Small,www.blueye.com,https://www.linkedin.com/company/blueye/about/,"1321 N Wood St, Chicago, IL 60622"
Boberdoo,Brad Seiler,11-50 employees,Self-funded,Founded: 2000,B2B SaaS,Horizontal,Sales and Marketing,Small,www.boberdoo.com,https://www.linkedin.com/company/boberdoo-com-llc/about/,"747 North LaSalle Street #210, Chicago, Illinois 60654"
BookingKoala,Filip Boksa,11-50 employees,Angel or Seed Funding,Founded: 2017,B2B SaaS,Horizontal,Practice Management,Small,www.bookingkoala.com,https://www.linkedin.com/company/bookingkoala/about/,"4524 Oakton St, Skokie, IL 60076"
Booksy,Stefan Batory,51-200 employees,Self-funded,Founded: 2014,B2B SaaS,"Entertainment, Hospitality, Travel",Marketplace,Medium,booksy.com,https://www.linkedin.com/company/booksy/about/,"515 N State St, Chicago, IL 60654, US"
BotPenguin,Gomesh Kumar,51-200 employees,Self-funded,Founded: 2017,B2B SaaS,Horizontal,Communications,Medium,botpenguin.com,https://www.linkedin.com/company/botpenguin/about/,"2323 N. Pulaski Road, Chicago, IL 60639"
Branchfire,Ravi Bhatt,11-50 employees,Self-funded,Founded: 2011,B2B SaaS,Horizontal,Document Management,Small,www.branchfire.com,https://www.linkedin.com/company/branchfire/about/,"500 W Madison Street, Suite 1000, Chicago, IL 60661"
Bridge Financial Technology,Rasheed Hammouda,11-50 employees,VC-funded,Founded: 2015,B2B SaaS,Financial Services,Practice Management,Small,www.bridgeft.com,https://www.linkedin.com/company/bridge-financial-technology/about/,"333 S Wabash Ave, Ste 2700, Chicago, Illinois 60604"
Bringg,Guy Bloch,51-200 employees,VC-funded,Founded: 2013,B2B SaaS,Horizontal,Logistics and Supply Chain,Medium,www.bringg.com,https://www.linkedin.com/company/bringg/about/,"1603 Orrington Ave, Suite 305, Evanston, IL 60201,"
Broadcom,Marla Schimke,"10,001+ employees",Acquired,Founded: 1991,B2B SaaS,Horizontal,IT Mgt,Large,www.broadcom.com,https://www.linkedin.com/company/broadcom/about/,"3333 Warrenville Rd., Suite 800, Lisle, Illinois 60532"
Broadleaf Cannabis,Null,1-10 employees,Self-funded,Founded: 2020,B2B SaaS,Cannabis,Business Mgt and ERP,Startup,broadleafcannabis.com,https://www.linkedin.com/company/broadleaf-cannabis/about/,"200 S Wacker Dr, Ste 2650, Chicago, IL 60606 US"
BrokerX,Brett Jurishi,11-50 employees,Self-funded,Founded: 2018,B2B SaaS,"Energy, Gas, Oil, Utilities",Business Mgt and ERP,Small,brokerxapp.com,https://www.linkedin.com/company/brokerx/about/,"27 N. Wacker Dr. Suite 560, Chicago, IL 60606"
Bswift,Sanjiv Anand,501-1000 employees,Acquired,Founded: 1996,B2B SaaS,Horizontal,HR and Recruiting,Large,bswift.com,https://www.linkedin.com/company/bswift/about/,"10 S. Riverside Plaza, Chicago, IL 60606,"
BuddyBoss,Tom O. Cheddadi,11-50 employees,Self-funded,Founded: 2010,B2B SaaS,Education,Cloud and Software Dev Tools,Small,www.buddyboss.com,https://www.linkedin.com/company/buddyboss/about/,"401 North Michigan Avenue, Suite 1200, Chicago, IL 60611, US"
Buildout,Kris Krisco,51-200 employees,Private Equity funding,Founded: 2014,B2B SaaS,Real Estate,Sales and Marketing,Medium,buildout.com,https://www.linkedin.com/company/buildout-inc-/about/,"222 S Riverside Plz #850, Chicago, IL 60606"
Built In,Maria Christopoulos Katris,51-200 employees,VC-funded,Founded: 2010,B2B SaaS,Horizontal,Communications,Medium,builtin.com,https://www.linkedin.com/company/3763094/about/,"203 N La Salle St, Chicago, Illinois 60601"
CacheFly CDN,Matt Levine,1-10 employees,Self-funded,Founded: 2002,B2B SaaS,Horizontal,IT Mgt,Startup,www.cachefly.com,http://www.linkedin.com/company/cachefly/about/,"111 West Jackson Blvd., Suite 1600, Chicago, IL 60604"
Callibra,Christopher Galassi,11-50 employees,Self-funded,Founded: 2002,B2B SaaS,Healthcare,Document Management,Small,www.discharge123.com,http://www.linkedin.com/company/discharge-1-2-3---callibra-inc-/about/,"Chicago, IL"
CareerBuilder,Irina Novoselsky,1001-5000 employees,Acquired,Founded: 1995,B2B SaaS,Horizontal,HR and Recruiting,Large,www.careerbuilder.com,https://www.linkedin.com/company/careerbuildercom/about/,"200 N LaSalle St, Chicago, Illinois US"
CareVoyant,Null,201-500 employees,Self-funded,Founded: 1991,B2B SaaS,Healthcare,Practice Management,Medium,carevoyant.com,https://www.linkedin.com/company/carevoyant-inc/about/,"1933 N. Meacham Rd, Suite 310, Schaumburg, Illinois 60173"
Casecheck,Matt Brandt,11-50 employees,VC-funded,Founded: 2015,B2B SaaS,Healthcare,Logistics and Supply Chain,Small,www.casechek.com,https://www.linkedin.com/company/casechek/about/,"220 N Green St, Chicago, Illinois 60607, US"
Cashier Live,Null,11-50 employees,Angel or Seed Funding,Founded: 2009,B2B SaaS,Retail,Point of Sale,Small,www.cashierlive.com,https://www.linkedin.com/company/cashier-live/about/,"11 E. Hubbard St., #202, Chicago, IL 60611"
Catalytic,Sean Chou,51-200 employees,VC-funded,Founded: 2015,B2B SaaS,Horizontal,Business Mgt and ERP,Medium,www.exelare.com,https://www.linkedin.com/company/catalyticinc/about/,"954 W. Washington Blvd, 7th Floor, Chicago, IL 60607"
CCC,Laura Dihel,1001-5000 employees,Acquired,Founded: 1980,B2B SaaS,Automotive,Business Mgt and ERP,Large,www.cccis.com,https://www.linkedin.com/company/ccc-information-services/about/,"167 N. Green Street, 9th Floor, Chicago, iL 60607"
CDK Global,Scott Herbers,5001-10000 employees,Public,Founded: 1972,B2B SaaS,Automotive,Business Mgt and ERP,Large,www.cdkglobal.com,https://www.linkedin.com/company/cdkglobal/about/,"1950 Hassell Road, Hoffman Estates, IL 60169-6308"
Celectiv,Greg Carrott,11-50 employees,Self-funded,Founded: 2014,B2B SaaS,Horizontal,HR and Recruiting,Small,celectiv.com,https://www.linkedin.com/company/celectiv/about/,"155 N Wacker Dr, Suite 4250, Chicago, Illinois 60606, US"
CellTrak,Andrew Kaboff,51-200 employees,VC-funded,Founded: 2004,B2B SaaS,Healthcare,Practice Management,Medium,celltrak.com,https://www.linkedin.com/company/celltrak/about/,"1051 Perimeter Drive, Suite 1000, Schaumburg, IL 60173,"
Centaur Systems,Philip Ofiesh,1-10 employees,Other,Founded: 1997,B2B SaaS,"Entertainment, Hospitality, Travel",Business Mgt and ERP,Startup,www.centaursystemsinc.com,https://www.linkedin.com/company/centaur-systems-inc/about/,"5999 S. New Wilke Road, Suite. #405, Rolling Meadows IL 60008, U.S.A"
Ceridian,David Ossip,1001-5000 employees,Acquired,Founded: 2012,B2B SaaS,Horizontal,HR and Recruiting,Large,www.ceridian.com,https://www.linkedin.com/company/ceridian/about/,"6111 N. River Rd., Suite 300, Rosemont, Illinois 60018, US"
Chairlift,Leon Ginsburg,11-50 employees,Self-funded,Founded: 2013,B2B SaaS,Horizontal,Sales and Marketing,Small,chairlift.io,https://www.linkedin.com/company/chairlift/about/,"111 W. Illinois Street, 5th floor, Chicago, Illinois 60654, US"
CHD Expert,Paul Hagege,51-200 employees,Acquired,Founded: 1996,B2B SaaS,Food,Analytics and BI,Medium,www.chd-expert.com,https://www.linkedin.com/company/chdexpertamericas/about/,"176 N. Racine Ave, Suite 250 – CHICAGO, IL, USA"
Cheetah Digital,Sameer Kazi,1001-5000 employees,Acquired,Founded: 1998,B2B SaaS,Horizontal,Sales and Marketing,Large,cheetahdigital.com,https://www.linkedin.com/company/cheetahdigital/about/,"72 W Adams St, Suite 800, Chicago, Illinois 60603"
Chowbus,Linxin Wen,51-200 employees,Angel or Seed Funding,Founded: 2015,B2B SaaS,Food,Sales and Marketing,Medium,www.chowbus.com,https://www.linkedin.com/company/chowbus/about/,"55 E Jackson Blvd, Suite 450, Chicago, IL, 60604"
CIC Plus,Jeff Cohen,51-200 employees,Self-funded,Founded: 1999,B2B SaaS,Horizontal,HR and Recruiting,Medium,www.cicplus.com,https://www.linkedin.com/company/cic-plus/about/,"7321 Ridgeway Ave., Skokie, IL 60076"
Cisco,Chuck Robbins,"10,001+ employees",Public,Founded: 1984,B2B SaaS,Horizontal,IT Mgt,Large,www.cisco.com,https://www.linkedin.com/company/cisco/about/,"217 N Jefferson St, Chicago, IL 60661, US"
Cision,Abel Clark,1001-5000 employees,Acquired,Founded: 1867,B2B SaaS,Horizontal,Sales and Marketing,Large,cision.com,https://www.linkedin.com/company/cision/about/,"130 E Randolph Street, 7th Floor, Chicago, IL 60601"
Citispoon,Dapo Kolawole,1-10 employees,Self-funded,Founded: 2018,B2B SaaS,Food,Sales and Marketing,Startup,citispoon.com,https://www.linkedin.com/company/citispoon/about/,"Chicago, IL"
Cityzenith,Michael Jansen,11-50 employees,Angel or Seed Funding,Founded: 2009,B2B SaaS,Real Estate,Business Mgt and ERP,Small,www.cityzenith.com,https://www.linkedin.com/company/cityzenith/about/,"2506 North Clark Street, Suite #235, Chicago, Illinois 60614"
ClairVista,Chris Sang,11-50 employees,Self-funded,Founded: 2002,B2B SaaS,Horizontal,Sales and Marketing,Small,www.clairvista.com,https://www.linkedin.com/company/clairvista-llc/about/,"343 W Erie St, Suite 240, Chicago, IL 60654"
Clarcity,Nate Klein,1-10 employees,Self-funded,Founded: 2010,B2B SaaS,Horizontal,Accounting and Finance,Startup,www.clarcity.com,https://www.linkedin.com/company/clarcity.com/about/,"200 S. Wacker Dr., Chicago, IL 60606"
ClassBug,Matthew Conway,1-10 employees,Other,Founded: 2012,B2B SaaS,Sports and Fitness,Practice Management,Startup,classbug.com,http://www.linkedin.com/company/classbug/about/,"Chicago, IL"
Classkick,Andrew Rowland,11-50 employees,Angel or Seed Funding,Founded: 2013,B2B SaaS,Education,eLearning,Small,classkick.com,https://www.linkedin.com/company/classkick/about/,"405 W. Superior, Unit #502, Chicago, Illinois 60654"
Clockwork,Fady Hawatmeh,11-50 employees,Angel or Seed Funding,Founded: 2018,B2B SaaS,Horizontal,Accounting and Finance,Small,clockwork.ai,https://www.linkedin.com/company/clockworkai/about/,"Chicago, IL"
Cloudera,Frank O’Dowd,1001-5000 employees,Public,Founded: 2008,B2B SaaS,Horizontal,IT Mgt,Large,www.cloudera.com,https://www.linkedin.com/company/cloudera/about/,"300 S. Wacker Dr, 17th Floor, Suite 1720, Chicago, IL 60606"
CMMS Data Group,Ruth Hughes,51-200 employees,Self-funded,Founded: 2000,B2B SaaS,Horizontal,Business Mgt and ERP,Medium,www.CMMSDataGroup.com,https://www.linkedin.com/company/cmms-data-group/about/,"123 W. Madison Street, Suite 1100, Chicago, Illinois 60602, US"
Cognizant,Brian Humphries,"10,001+ employees",Public,Founded: 1994,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.cognizant.com,https://www.linkedin.com/company/cognizant/about/,"1240 East Diehl Road, Suite 200 & 305, Naperville, IL 60563"
cohesion,Thru Shivakumar,11-50 employees,Self-funded,Founded: 2018,B2B SaaS,Real Estate,Automation,Small,cohesionib.com,https://www.linkedin.com/company/cohesionib/about/,"33 N LaSalle St, Suite 2600, Chicago, Illinois 60602, US"
Cohesive Networks,Patrick Kerpan,11-50 employees,VC-funded,Founded: 2008,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Small,cohesive.net,https://www.linkedin.com/company/cohesive-networks/about/,"20 N Wacker Drive, Suite 1200, Chicago, IL 60606"
Comindwork,Alexi Krus,1-10 employees,Self-funded,Founded: 2007,B2B SaaS,Horizontal,Communications,Startup,www.comindwork.com,https://www.linkedin.com/company/comindwork/about/,"200 S Wacker Dr, Chicago,  IL 60606"
Computer Information Systems,Agnes Rygula,11-50 employees,Self-funded,Founded: 1985,B2G,Government,Communications,Small,www.cis.com,https://www.linkedin.com/company/computer-information-systems-inc-/about/,"7840 Lincoln Ave, Skokie, Illinois 60077, US"
Conference Solutions,Zane Gray,1-10 employees,Self-funded,Founded: 2010,B2B SaaS,Horizontal,Sales and Marketing,Startup,conferencesolutions.com,https://www.linkedin.com/company/conferencesolutions/about/,"Chicago, IL"
Configure One,Null,51-200 employees,Self-funded,Founded: 2000,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.configureone.com,https://www.linkedin.com/company/configure-one/about/,"Oak Brook, IL"
Conmitto,Akash Agarwal,1-10 employees,Self-funded,Founded: 2018,B2B SaaS,Horizontal,Logistics and Supply Chain,Startup,Conmitto.io,https://www.linkedin.com/company/conmitto/about/,"Chicago, IL"
Connamara,Jim Downs,11-50 employees,Self-funded,Founded: 1998,B2B SaaS,Financial Services,Analytics and BI,Small,www.connamara.com,https://www.linkedin.com/company/connamara-systems-llc/about/,"200 W Jackson Blvd, Ste 1950, Chicago, IL 60606, US"
CQG,Ryan Moroney,201-500 employees,Self-funded,Founded: 1980,B2B SaaS,Financial Services,Analytics and BI,Medium,www.cqg.com,https://www.linkedin.com/company/cqg/about/,"311 S. Wacker Dr., Suite 6100, Chicago, IL 60606"
Crowdfind,Jay Sebben,1-10 employees,Angel or Seed Funding,Founded: 2012,B2B SaaS,Horizontal,Business Mgt and ERP,Startup,www.crowdfind.com,https://www.linkedin.com/company/crowdfind-inc/about/,"20 N. Upper Wacker Dr., #1200, Chicago, ILLINOIS 60606"
CTI Meeting Technology,Mark Coe,51-200 employees,Self-funded,Founded: 1982,B2B SaaS,Horizontal,Document Management,Medium,www.ctimeetingtech.com,https://www.linkedin.com/company/cti-meeting-technology/about/,"500 North Michigan Avenue, Suite 800 Chicago, IL 60611, USA"
Cvent,Reggie Aggarwal,1001-5000 employees,Acquired,Founded: 1999,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.cvent.com,https://www.linkedin.com/company/cvent/about/,"3340 Peachtree Road Suite 2800, Atlanta, Georgia 30326"
Cyxtera,Nelson Fonseca,1001-5000 employees,Acquired,Founded: 2014,B2B SaaS,Horizontal,Analytics and BI,Large,www.cyxtera.com,https://www.linkedin.com/company/cyxtera/about/,"ELK GROVE VILLAGE, IL, USA"
Dash Financial Technologies,Peter Maragos,51-200 employees,Acquired,Founded: 2009,B2B SaaS,Financial Services,Point of Sale,Medium,www.dashfinancial.com,https://www.linkedin.com/company/dash-financial/about/,"200 South Wacker Drive, Suite 2450 | Chicago, IL 60606 | 312.986.2006"
Dassault Systemes,Bernard Charlès,"10,001+ employees",Public,Founded: 1981,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.3ds.com,https://www.linkedin.com/company/dassaultsystemes/about/,"1900 East Golf Road, Schaumburg, IL 60173"
databricks,Ali Ghodsi,1001-5000 employees,VC-funded,Founded: 2013,B2B SaaS,Horizontal,Analytics and BI,Large,databricks.com,https://www.linkedin.com/company/databricks/about/,"311 Monroe Street, Suite 306, Chicago, IL 60606"
Datadog,Olivier Pomel,1001-5000 employees,Public,Founded: 2010,B2B SaaS,Horizontal,IT Mgt,Large,www.datadoghq.com,https://www.linkedin.com/company/datadog/about/,"20 W. Kinzie St., Chicago, IL 60654"
Datalogics,Kevin McNeill,51-200 employees,Self-funded,Founded: 1967,B2B SaaS,Horizontal,Document Management,Medium,www.datalogics.com,https://www.linkedin.com/company/datalogics/about/,"101 N Wacker Dr, Chicago, Illinois 60606"
DealRoom,Kison Patel,11-50 employees,Self-funded,Founded: 2012,B2B SaaS,Horizontal,Document Management,Small,dealroom.net,https://www.linkedin.com/company/dealroom/about/,"205 W Wacker, Chicago, IL 60606,"
